review_id,course_id,text,rating
40000,4,整体失望，不推荐,2
40001,1,基础内容还不错，但进阶少,3
40002,3,讲解深入浅出,4
40003,1,非常棒的入门课程,4
40004,3,整体体验不错，推荐学习,5
40005,4,视频质量一般,2
40006,5,内容安排合理，循序渐进,5
40007,3,学完后感觉提升很大,4
40008,3,讲解速度稍快,4
40009,3,部分章节可以更深入一些,3
40010,3,整体还可以，但还需改进,3
40011,4,内容安排合理，循序渐进,5
40012,3,案例太简单，不够深入,2
40013,2,讲解速度稍快,3
40014,1,实践案例很丰富,5
40015,1,非常棒的入门课程,4
40016,2,非常棒的入门课程,5
40017,3,基础内容还不错，但进阶少,3
40018,5,讲解速度稍快,3
40019,5,案例很实用，收获满满,5
40020,5,学完后感觉提升很大,5
40021,1,课程内容非常好，讲解细致,4
40022,3,案例很实用，收获满满,5
40023,3,内容安排合理，循序渐进,4
40024,4,视频质量高，知识点全面,5
40025,3,实践案例很丰富,4
40026,4,内容详实，值得学习,4
40027,1,讲解深入浅出,4
40028,2,案例很实用，收获满满,5
40029,1,学完后感觉提升很大,5
40030,4,老师讲得很清楚，容易理解,5
40031,5,基础内容还不错，但进阶少,3
40032,1,课程质量超出预期,5
40033,1,案例很实用，收获满满,4
40034,4,实践案例很丰富,5
40035,2,课程内容非常好，讲解细致,5
40036,4,课程质量超出预期,5
40037,4,案例太简单，不够深入,2
40038,1,讲解速度稍快,3
40039,1,内容安排合理，循序渐进,4
40040,2,内容详实，值得学习,5
40041,4,课程内容非常好，讲解细致,5
40042,2,讲解速度稍快,3
40043,2,部分章节可以更深入一些,4
40044,2,老师讲得很清楚，容易理解,4
40045,1,讲解深入浅出,5
40046,4,内容过时了，需要更新,1
40047,2,内容安排合理，循序渐进,5
40048,1,讲解枯燥乏味,2
40049,4,基础内容还不错，但进阶少,3
40050,3,整体还可以，但还需改进,3
40051,5,老师讲得很清楚，容易理解,4
40052,3,部分章节可以更深入一些,3
40053,4,讲解速度稍快,3
40054,1,学完后感觉提升很大,5
40055,4,课程质量超出预期,4
40056,4,部分章节可以更深入一些,3
40057,3,内容详实，值得学习,4
40058,4,讲解清晰有逻辑，非常喜欢,5
40059,1,内容过时了，需要更新,1
40060,5,干货满满，性价比高,5
40061,4,讲解枯燥乏味,2
40062,1,中等水平，不算特别好,3
40063,5,老师讲得很清楚，容易理解,5
40064,4,非常棒的入门课程,5
40065,4,视频质量高，知识点全面,5
40066,3,案例很实用，收获满满,5
40067,4,实践案例很丰富,5
40068,4,学完后感觉提升很大,5
40069,5,缺乏互动和练习,1
40070,3,内容安排合理，循序渐进,5
40071,3,内容一般，有些地方不够详细,4
40072,3,整体体验不错，推荐学习,5
40073,4,学完后感觉提升很大,5
40074,3,讲解深入浅出,5
40075,1,老师非常有耐心,4
40076,5,课程内容非常好，讲解细致,5
40077,4,视频质量高，知识点全面,4
40078,5,整体还可以，但还需改进,3
40079,1,内容过时了，需要更新,2
40080,1,视频质量一般,1
40081,5,内容一般，有些地方不够详细,4
40082,4,内容安排合理，循序渐进,5
40083,4,讲解速度稍快,3
